Room,Category,Description,Path
Hallway,Open Storage Furniture,10379303,Hallway/Open Storage Furniture/10379303.jpg
Hallway,Open Storage Furniture,70439573,Hallway/Open Storage Furniture/70439573.jpg
Hallway,Open Storage Furniture,90421906,Hallway/Open Storage Furniture/90421906.jpg
Hallway,Open Storage Furniture,80379620,Hallway/Open Storage Furniture/80379620.jpg
Hallway,Open Storage Furniture,90421911,Hallway/Open Storage Furniture/90421911.jpg
Hallway,Open Storage Furniture,00447680,Hallway/Open Storage Furniture/00447680.jpg
Hallway,Open Storage Furniture,30382210,Hallway/Open Storage Furniture/30382210.jpg
Hallway,Open Storage Furniture,10381424,Hallway/Open Storage Furniture/10381424.jpg
Hallway,Open Storage Furniture,50380385,Hallway/Open Storage Furniture/50380385.jpg
Hallway,Open Storage Furniture,00421915,Hallway/Open Storage Furniture/00421915.jpg
Hallway,Open Storage Furniture,10439458,Hallway/Open Storage Furniture/10439458.jpg
Hallway,Open Storage Furniture,30439476,Hallway/Open Storage Furniture/30439476.jpg
Hallway,Open Storage Furniture,80451507,Hallway/Open Storage Furniture/80451507.jpg
Hallway,Open Storage Furniture,00439468,Hallway/Open Storage Furniture/00439468.jpg
Hallway,Open Storage Furniture,60381407,Hallway/Open Storage Furniture/60381407.jpg
Hallway,Wordrobes,60331083,Hallway/Wordrobes/PLATSA Modular Storage System/60331083.jpg
Hallway,Wordrobes,50386009,Hallway/Wordrobes/PLATSA Modular Storage System/50386009.jpg
Hallway,Wordrobes,30331051,Hallway/Wordrobes/PLATSA Modular Storage System/30331051.jpg
Hallway,Wordrobes,69248329,Hallway/Wordrobes/PLATSA Modular Storage System/69248329.jpg
Hallway,Wordrobes,60330955,Hallway/Wordrobes/PLATSA Modular Storage System/60330955.jpg
Hallway,Wordrobes,00331062,Hallway/Wordrobes/PLATSA Modular Storage System/00331062.jpg
Hallway,Wordrobes,80331058,Hallway/Wordrobes/PLATSA Modular Storage System/80331058.jpg
Hallway,Wordrobes,29248369,Hallway/Wordrobes/PLATSA Modular Storage System/29248369.jpg
Hallway,Wordrobes,20331202,Hallway/Wordrobes/PLATSA Modular Storage System/20331202.jpg
